ID,Background,Back Accessory,Body,Clothes,Mouth,Eyes,Wield,Accessory,Head,Earring,Rarity,Metadata
00558,Good Morning,None,Gray,Lab Coat No2,Sharp,Angry Purple,Katana,3D Glasses No2,Pink Neon Horns,Ergo Chain,815.1,"{""721"":{""ergoat-00558"":{""index"":00558,""generation"":1,""background"":""Good Morning"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Lab Coat No2"",""mouth"":""Sharp"",""eyes"":""Angry Purple"",""wield"":""Katana"",""accessory"":""3D Glasses No2"",""head"":""Pink Neon Horns"",""earring"":""Ergo Chain""}}}"
00559,Cloud Light,Nine Tales,Green,Holiday Suit,Missing Tooth,Angry Purple,Cigarette,Gray Collar,Dark Horns,Ergo Chain,748.2,"{""721"":{""ergoat-00559"":{""index"":00559,""generation"":1,""background"":""Cloud Light"",""back_accessory"":""Nine Tales"",""body"":""Green"",""clothes"":""Holiday Suit"",""mouth"":""Missing Tooth"",""eyes"":""Angry Purple"",""wield"":""Cigarette"",""accessory"":""Gray Collar"",""head"":""Dark Horns"",""earring"":""Ergo Chain""}}}"
00560,Skinny Dip,Rainbow Demon Wings,Pink,Pink Suit,Screaming,Crazy Yellow,White Wine,Red Collar,Dark Cowboy Hat,Ergo Chain,824.5,"{""721"":{""ergoat-00560"":{""index"":00560,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""Rainbow Demon Wings"",""body"":""Pink"",""clothes"":""Pink Suit"",""mouth"":""Screaming"",""eyes"":""Crazy Yellow"",""wield"":""White Wine"",""accessory"":""Red Collar"",""head"":""Dark Cowboy Hat"",""earring"":""Ergo Chain""}}}"
00561,Forever Sunshine,None,Brown,Ronin Black,Gritted Teeth,Assassin Gray,Christmas Mug,Red Collar,Clown Afro,Disco Ball,852.7,"{""721"":{""ergoat-00561"":{""index"":00561,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Ronin Black"",""mouth"":""Gritted Teeth"",""eyes"":""Assassin Gray"",""wield"":""Christmas Mug"",""accessory"":""Red Collar"",""head"":""Clown Afro"",""earring"":""Disco Ball""}}}"
00562,Red Window,Bag of Toys,Brown,White Suit,Screaming,Crazy Blue,Flame,Gold Metal,Headband,Hanafudu No2,769.9,"{""721"":{""ergoat-00562"":{""index"":00562,""generation"":1,""background"":""Red Window"",""back_accessory"":""Bag of Toys"",""body"":""Brown"",""clothes"":""White Suit"",""mouth"":""Screaming"",""eyes"":""Crazy Blue"",""wield"":""Flame"",""accessory"":""Gold Metal"",""head"":""Headband"",""earring"":""Hanafudu No2""}}}"
00563,Movie Foam,Red Katana,Pink,Ripped Suit,Grin,Stoned,Dragon Ball,Gold Chain Necklace,Ronin Hat,Pentagram,753,"{""721"":{""ergoat-00563"":{""index"":00563,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""Red Katana"",""body"":""Pink"",""clothes"":""Ripped Suit"",""mouth"":""Grin"",""eyes"":""Stoned"",""wield"":""Dragon Ball"",""accessory"":""Gold Chain Necklace"",""head"":""Ronin Hat"",""earring"":""Pentagram""}}}"
00564,Opening Scene,None,Yellow,Black ERGoat Shirt,Gritted Teeth,Calm Teal,Spirit Gun,Green Energy,Rambo,None,902.5,"{""721"":{""ergoat-00564"":{""index"":00564,""generation"":1,""background"":""Opening Scene"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Teal"",""wield"":""Spirit Gun"",""accessory"":""Green Energy"",""head"":""Rambo"",""earring"":""None""}}}"
00565,Pinot Noir Film,Angel Wings,Pink,Celtics Jersey,Flopped,Stoned,Flame,Green Scouter,Clown Afro,None,734.7,"{""721"":{""ergoat-00565"":{""index"":00565,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Angel Wings"",""body"":""Pink"",""clothes"":""Celtics Jersey"",""mouth"":""Flopped"",""eyes"":""Stoned"",""wield"":""Flame"",""accessory"":""Green Scouter"",""head"":""Clown Afro"",""earring"":""None""}}}"
00566,Stroke,None,Gray,Blue Ninja Armor,Gold Tooth,Assassin Gray,Cupcake,Green Energy,Purple Beanie,Present,713.2,"{""721"":{""ergoat-00566"":{""index"":00566,""generation"":1,""background"":""Stroke"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Blue Ninja Armor"",""mouth"":""Gold Tooth"",""eyes"":""Assassin Gray"",""wield"":""Cupcake"",""accessory"":""Green Energy"",""head"":""Purple Beanie"",""earring"":""Present""}}}"
00567,Sunshine,None,Yellow,Ronin White,Grin,Stoned,Snowball,Silver Chain Necklace,Horns,Disco Ball,919.2,"{""721"":{""ergoat-00567"":{""index"":00567,""generation"":1,""background"":""Sunshine"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Ronin White"",""mouth"":""Grin"",""eyes"":""Stoned"",""wield"":""Snowball"",""accessory"":""Silver Chain Necklace"",""head"":""Horns"",""earring"":""Disco Ball""}}}"
00568,Airline Scarf,None,Purple,Purple Hawaiian Shirt,Snake,Dollah,Spiked Bat,Gold Chain Necklace,Snowy Tophat,Rainbow Disco Ball,671.3,"{""721"":{""ergoat-00568"":{""index"":00568,""generation"":1,""background"":""Airline Scarf"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Snake"",""eyes"":""Dollah"",""wield"":""Spiked Bat"",""accessory"":""Gold Chain Necklace"",""head"":""Snowy Tophat"",""earring"":""Rainbow Disco Ball""}}}"
00569,Watermelon,None,Gray,Black ERGoat Shirt,Sharp,Crazy Blue,Katana,Silver Medal,Royal Guard Hat,Spikes,875.5,"{""721"":{""ergoat-00569"":{""index"":00569,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Sharp"",""eyes"":""Crazy Blue"",""wield"":""Katana"",""accessory"":""Silver Medal"",""head"":""Royal Guard Hat"",""earring"":""Spikes""}}}"
00570,Best Friend,Dark Angel Wings,Purple,Bulls Jersey,Grin,Calm Teal,Flame,Red Collar,Green Neon Horns,Spikes,740.1,"{""721"":{""ergoat-00570"":{""index"":00570,""generation"":1,""background"":""Best Friend"",""back_accessory"":""Dark Angel Wings"",""body"":""Purple"",""clothes"":""Bulls Jersey"",""mouth"":""Grin"",""eyes"":""Calm Teal"",""wield"":""Flame"",""accessory"":""Red Collar"",""head"":""Green Neon Horns"",""earring"":""Spikes""}}}"
00571,Movie Foam,Devil Tail,Pink,Green Hawaiian Shirt,Gritted Teeth,Stoned,Red Wine,Red Collar,Dark Horns,None,869.2,"{""721"":{""ergoat-00571"":{""index"":00571,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""Devil Tail"",""body"":""Pink"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Stoned"",""wield"":""Red Wine"",""accessory"":""Red Collar"",""head"":""Dark Horns"",""earring"":""None""}}}"
00572,Island in Blood,None,Orange,Drug Rug No2,Screaming,Assassin Green,Necronomicon,Gold Chain Necklace,Snowy Tophat,Spikes,743.3,"{""721"":{""ergoat-00572"":{""index"":00572,""generation"":1,""background"":""Island in Blood"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Drug Rug No2"",""mouth"":""Screaming"",""eyes"":""Assassin Green"",""wield"":""Necronomicon"",""accessory"":""Gold Chain Necklace"",""head"":""Snowy Tophat"",""earring"":""Spikes""}}}"
00573,Peach Line,None,Teal,White ERGoat Shirt,Sharp,Angry Purple,White Wine,Blue Energy,Pink Neon Horns,Sapphire Stud,896.5,"{""721"":{""ergoat-00573"":{""index"":00573,""generation"":1,""background"":""Peach Line"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""White ERGoat Shirt"",""mouth"":""Sharp"",""eyes"":""Angry Purple"",""wield"":""White Wine"",""accessory"":""Blue Energy"",""head"":""Pink Neon Horns"",""earring"":""Sapphire Stud""}}}"
00574,Airport,Red Katana,Blue,Bulls Jersey,Tongue Tied,Calm Purple,Flame,Pentagram,Green Neon Horns,Rainbow Disco Ball,583.3,"{""721"":{""ergoat-00574"":{""index"":00574,""generation"":1,""background"":""Airport"",""back_accessory"":""Red Katana"",""body"":""Blue"",""clothes"":""Bulls Jersey"",""mouth"":""Tongue Tied"",""eyes"":""Calm Purple"",""wield"":""Flame"",""accessory"":""Pentagram"",""head"":""Green Neon Horns"",""earring"":""Rainbow Disco Ball""}}}"
00575,Pinot Noir Film,Red Katana,Red,Holiday Suit,Flopped,Calm Purple,Basketball,Red Collar,Pink Neon Horns,Gold Hoop,774.1,"{""721"":{""ergoat-00575"":{""index"":00575,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Red Katana"",""body"":""Red"",""clothes"":""Holiday Suit"",""mouth"":""Flopped"",""eyes"":""Calm Purple"",""wield"":""Basketball"",""accessory"":""Red Collar"",""head"":""Pink Neon Horns"",""earring"":""Gold Hoop""}}}"
00576,Rojo,None,Gray,Drug Rug No2,Gritted Teeth,Calm Teal,Trident,3D Glasses No1,Orange Afro,Present,782.3,"{""721"":{""ergoat-00576"":{""index"":00576,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Drug Rug No2"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Teal"",""wield"":""Trident"",""accessory"":""3D Glasses No1"",""head"":""Orange Afro"",""earring"":""Present""}}}"
00577,Hazy Eve,Red Parrot,Yellow,Lab Coat No1,Sharp,Super,Cocktail,Gold Chain Necklace,Snowy Tophat,None,805.4,"{""721"":{""ergoat-00577"":{""index"":00577,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""Red Parrot"",""body"":""Yellow"",""clothes"":""Lab Coat No1"",""mouth"":""Sharp"",""eyes"":""Super"",""wield"":""Cocktail"",""accessory"":""Gold Chain Necklace"",""head"":""Snowy Tophat"",""earring"":""None""}}}"
00578,Lilac,None,Gray,Lab Coat No1,Pierced Tongue,Calm Teal,Cupcake,Green Energy,Ram Horns,Off White Tag,863.2,"{""721"":{""ergoat-00578"":{""index"":00578,""generation"":1,""background"":""Lilac"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Lab Coat No1"",""mouth"":""Pierced Tongue"",""eyes"":""Calm Teal"",""wield"":""Cupcake"",""accessory"":""Green Energy"",""head"":""Ram Horns"",""earring"":""Off White Tag""}}}"
00579,Island in Blood,None,Orange,White ERGoat Shirt,Sharp,Calm Teal,White Wine,Mustache,Cowboy Hat,None,926.5,"{""721"":{""ergoat-00579"":{""index"":00579,""generation"":1,""background"":""Island in Blood"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""White ERGoat Shirt"",""mouth"":""Sharp"",""eyes"":""Calm Teal"",""wield"":""White Wine"",""accessory"":""Mustache"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
00580,Hazy Eve,Red Parrot,Yellow,Santa Sweater,Sharp,Angry Red,Spiked Bat,3D Glasses No1,Clown Afro,Off White Tag,673.4,"{""721"":{""ergoat-00580"":{""index"":00580,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""Red Parrot"",""body"":""Yellow"",""clothes"":""Santa Sweater"",""mouth"":""Sharp"",""eyes"":""Angry Red"",""wield"":""Spiked Bat"",""accessory"":""3D Glasses No1"",""head"":""Clown Afro"",""earring"":""Off White Tag""}}}"
00581,Best Friend,None,Yellow,Ronin Black,Flopped,Assassin Gray,Necronomicon,Nose Scar,Orange Afro,Silver Hoop,863.7,"{""721"":{""ergoat-00581"":{""index"":00581,""generation"":1,""background"":""Best Friend"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Ronin Black"",""mouth"":""Flopped"",""eyes"":""Assassin Gray"",""wield"":""Necronomicon"",""accessory"":""Nose Scar"",""head"":""Orange Afro"",""earring"":""Silver Hoop""}}}"
00582,Bloodshot,Shoulder Angel,Purple,Ronin Black,Grin,Crazy Yellow,Tie Dye Wine,Red Collar,Ram Horns,None,916.2,"{""721"":{""ergoat-00582"":{""index"":00582,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""Shoulder Angel"",""body"":""Purple"",""clothes"":""Ronin Black"",""mouth"":""Grin"",""eyes"":""Crazy Yellow"",""wield"":""Tie Dye Wine"",""accessory"":""Red Collar"",""head"":""Ram Horns"",""earring"":""None""}}}"
00583,Crime Scene,None,Teal,Ronin Black,Gritted Teeth,Crazy Blue,Red Wine,Green Scouter,Green Beanie,Rainbow Disco Ball,896.7,"{""721"":{""ergoat-00583"":{""index"":00583,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Ronin Black"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Blue"",""wield"":""Red Wine"",""accessory"":""Green Scouter"",""head"":""Green Beanie"",""earring"":""Rainbow Disco Ball""}}}"
00584,Best Friend,Angel Wings,Yellow,Black Suit,Missing Tooth,Calm Purple,Spiked Bat,Nose Scar,Dark Horns,Ergo Chain,830.2,"{""721"":{""ergoat-00584"":{""index"":00584,""generation"":1,""background"":""Best Friend"",""back_accessory"":""Angel Wings"",""body"":""Yellow"",""clothes"":""Black Suit"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Spiked Bat"",""accessory"":""Nose Scar"",""head"":""Dark Horns"",""earring"":""Ergo Chain""}}}"
00585,Score Line,None,Gray,White Suit,Missing Tooth,Calm Teal,Tie Dye Wine,Red Energy,Blue Afro,Pentagram,894,"{""721"":{""ergoat-00585"":{""index"":00585,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""White Suit"",""mouth"":""Missing Tooth"",""eyes"":""Calm Teal"",""wield"":""Tie Dye Wine"",""accessory"":""Red Energy"",""head"":""Blue Afro"",""earring"":""Pentagram""}}}"
00586,Lilac,Monkey Tail,Yellow,Joker Suit,Grin,Shoujo,Red Wine,Red Scouter,Dark Ronin Hat,Diamond Stud,669.6,"{""721"":{""ergoat-00586"":{""index"":00586,""generation"":1,""background"":""Lilac"",""back_accessory"":""Monkey Tail"",""body"":""Yellow"",""clothes"":""Joker Suit"",""mouth"":""Grin"",""eyes"":""Shoujo"",""wield"":""Red Wine"",""accessory"":""Red Scouter"",""head"":""Dark Ronin Hat"",""earring"":""Diamond Stud""}}}"
00587,Sacre Bleu,Blue Katana,Red,White ERGoat Shirt,Gold Tooth,Ergo,Wolverine,Mustache,Horns,Snowman,732.6,"{""721"":{""ergoat-00587"":{""index"":00587,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""Blue Katana"",""body"":""Red"",""clothes"":""White ERGoat Shirt"",""mouth"":""Gold Tooth"",""eyes"":""Ergo"",""wield"":""Wolverine"",""accessory"":""Mustache"",""head"":""Horns"",""earring"":""Snowman""}}}"
00588,Crime Scene,Red Katana,Orange,Lab Coat No1,Tongue Tied,Stoned,Red Wine,Blue Energy,Xmas Lights,Silver Hoop,742.4,"{""721"":{""ergoat-00588"":{""index"":00588,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""Red Katana"",""body"":""Orange"",""clothes"":""Lab Coat No1"",""mouth"":""Tongue Tied"",""eyes"":""Stoned"",""wield"":""Red Wine"",""accessory"":""Blue Energy"",""head"":""Xmas Lights"",""earring"":""Silver Hoop""}}}"
00589,Sacre Bleu,Blue Katana,Teal,Ripped Suit,Gritted Teeth,Calm Purple,Red Wine,Evil Face Tattoo,Blue Flame,Silver Hoop,833.9,"{""721"":{""ergoat-00589"":{""index"":00589,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""Blue Katana"",""body"":""Teal"",""clothes"":""Ripped Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Purple"",""wield"":""Red Wine"",""accessory"":""Evil Face Tattoo"",""head"":""Blue Flame"",""earring"":""Silver Hoop""}}}"
00590,Watermelon Stripe,None,Teal,Holiday ERGoat Shirt,Smirk,Super,Spiked Bat,Red Energy,Blue Flame,Diamond Stud,775.9,"{""721"":{""ergoat-00590"":{""index"":00590,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Holiday ERGoat Shirt"",""mouth"":""Smirk"",""eyes"":""Super"",""wield"":""Spiked Bat"",""accessory"":""Red Energy"",""head"":""Blue Flame"",""earring"":""Diamond Stud""}}}"
00591,Sacre Bleu,None,Gray,Green Ninja Armor,Missing Tooth,Angry Red,Tie Dye Wine,Gold Chain Necklace,Purple Beanie,Ruby Stud,861.3,"{""721"":{""ergoat-00591"":{""index"":00591,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Green Ninja Armor"",""mouth"":""Missing Tooth"",""eyes"":""Angry Red"",""wield"":""Tie Dye Wine"",""accessory"":""Gold Chain Necklace"",""head"":""Purple Beanie"",""earring"":""Ruby Stud""}}}"
00592,Bloodshot,Monkey Tail,Purple,Ronin Black,Tongue Tied,Crazy Blue,Snowball,Blue Energy,Dark Horns,None,835.6,"{""721"":{""ergoat-00592"":{""index"":00592,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""Monkey Tail"",""body"":""Purple"",""clothes"":""Ronin Black"",""mouth"":""Tongue Tied"",""eyes"":""Crazy Blue"",""wield"":""Snowball"",""accessory"":""Blue Energy"",""head"":""Dark Horns"",""earring"":""None""}}}"
00593,Golden,None,Gold,None,Gold,Gold,Golden Katana,None,Gold,None,863.2,"{""721"":{""ergoat-00593"":{""index"":00593,""generation"":1,""background"":""Golden"",""back_accessory"":""None"",""body"":""Gold"",""clothes"":""None"",""mouth"":""Gold"",""eyes"":""Gold"",""wield"":""Golden Katana"",""accessory"":""None"",""head"":""Gold"",""earring"":""None""}}}"
00594,Best Friend,None,Blue,Joker Suit,Pierced Tongue,Crazy Blue,Snowball,Green Energy,Green Neon Horns,Gold Hoop,818.7,"{""721"":{""ergoat-00594"":{""index"":00594,""generation"":1,""background"":""Best Friend"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Joker Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Crazy Blue"",""wield"":""Snowball"",""accessory"":""Green Energy"",""head"":""Green Neon Horns"",""earring"":""Gold Hoop""}}}"
00595,Hazy Eve,Demon Wings,Blue,Baphomet,Gold Tooth,Calm Teal,Cocktail,Silver Chain Necklace,Dark Cowboy Hat,None,916.2,"{""721"":{""ergoat-00595"":{""index"":00595,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""Demon Wings"",""body"":""Blue"",""clothes"":""Baphomet"",""mouth"":""Gold Tooth"",""eyes"":""Calm Teal"",""wield"":""Cocktail"",""accessory"":""Silver Chain Necklace"",""head"":""Dark Cowboy Hat"",""earring"":""None""}}}"
00596,Copper Battery,Red Katana,Purple,Ronin Black,Sharp,Calm Teal,Katana,3D Glasses No1,Royal Guard Hat,Pentagram,717.9,"{""721"":{""ergoat-00596"":{""index"":00596,""generation"":1,""background"":""Copper Battery"",""back_accessory"":""Red Katana"",""body"":""Purple"",""clothes"":""Ronin Black"",""mouth"":""Sharp"",""eyes"":""Calm Teal"",""wield"":""Katana"",""accessory"":""3D Glasses No1"",""head"":""Royal Guard Hat"",""earring"":""Pentagram""}}}"
00597,Clover Field,Devil Tail,Green,Ripped Suit,Gritted Teeth,Shoujo,Flame,Green Scouter,Royal Guard Hat,None,767.8,"{""721"":{""ergoat-00597"":{""index"":00597,""generation"":1,""background"":""Clover Field"",""back_accessory"":""Devil Tail"",""body"":""Green"",""clothes"":""Ripped Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Shoujo"",""wield"":""Flame"",""accessory"":""Green Scouter"",""head"":""Royal Guard Hat"",""earring"":""None""}}}"
00598,Sacre Bleu,Bow and Arrows,Teal,Ripped Suit,Flopped,Crazy Yellow,Christmas Mug,Silver Chain Necklace,Royal Guard Hat,Snowman,819.5,"{""721"":{""ergoat-00598"":{""index"":00598,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""Bow and Arrows"",""body"":""Teal"",""clothes"":""Ripped Suit"",""mouth"":""Flopped"",""eyes"":""Crazy Yellow"",""wield"":""Christmas Mug"",""accessory"":""Silver Chain Necklace"",""head"":""Royal Guard Hat"",""earring"":""Snowman""}}}"
00599,Rojo,None,Purple,Pink Suit,Flopped,Assassin Gray,Red Wine,Gold Chain Necklace,Green Neon Horns,None,948.2,"{""721"":{""ergoat-00599"":{""index"":00599,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Pink Suit"",""mouth"":""Flopped"",""eyes"":""Assassin Gray"",""wield"":""Red Wine"",""accessory"":""Gold Chain Necklace"",""head"":""Green Neon Horns"",""earring"":""None""}}}"
00600,Sacre Bleu,None,Pink,Baphomet,Screaming,Crazy Blue,Red Wine,Bronze Medal,Blue Afro,Pentagram,859.6,"{""721"":{""ergoat-00600"":{""index"":00600,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Baphomet"",""mouth"":""Screaming"",""eyes"":""Crazy Blue"",""wield"":""Red Wine"",""accessory"":""Bronze Medal"",""head"":""Blue Afro"",""earring"":""Pentagram""}}}"
00601,Summer,None,Gray,Holiday ERGoat Shirt,Tongue Tied,Angry Purple,Cupcake,Face Cuts,Afro,Snow Globe,850.9,"{""721"":{""ergoat-00601"":{""index"":00601,""generation"":1,""background"":""Summer"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Holiday ERGoat Shirt"",""mouth"":""Tongue Tied"",""eyes"":""Angry Purple"",""wield"":""Cupcake"",""accessory"":""Face Cuts"",""head"":""Afro"",""earring"":""Snow Globe""}}}"
00602,Sunshine,None,Green,Joker Suit,Screaming,Assassin Green,Christmas Mug,Pentagram,Horns,Pentagram,866.7,"{""721"":{""ergoat-00602"":{""index"":00602,""generation"":1,""background"":""Sunshine"",""back_accessory"":""None"",""body"":""Green"",""clothes"":""Joker Suit"",""mouth"":""Screaming"",""eyes"":""Assassin Green"",""wield"":""Christmas Mug"",""accessory"":""Pentagram"",""head"":""Horns"",""earring"":""Pentagram""}}}"
